id,text_id,bunsetsu,text,value
0,6,平成２３年９月１３日から,平成２３年９月１３日,20110913
1,7,平成２３年９月１３日から,平成２３年９月１３日,20110913
2,13,平成１０年６月１６日に,平成１０年６月１６日,19980616
3,13,平成２１年１月９日に,平成２１年１月９日,20090109
4,13,平成２２年２月１９日に,平成２２年２月１９日,20100219
5,34,平成１９年１２月１日に,平成１９年１２月１日,20071201
6,53,平成１２年４月，,平成１２年４月,20000400
7,53,平成１７年５月に,平成１７年５月,20050500
8,90,平成６年８月頃，,平成６年８月,19940800
9,91,平成９年７月頃，,平成９年７月,19970700
10,93,平成９年７月頃，,平成９年７月,19970700
11,93,同年１０月２９日から,同年１０月２９日,19971029
12,93,平成１０年１月頃，,平成１０年１月,19980100
13,122,平成１９年１２月１日に,平成１９年１２月１日,20071201
14,122,平成２２年２月１９日までの,平成２２年２月１９日,20100219
15,125,平成１９年１２月１日に,平成１９年１２月１日,20071201
16,133,平成２２年２月１９日から,平成２２年２月１９日,20100219
17,182,平成７年１１月頃，,平成７年１１月,19951100
18,182,平成９年７月２４日，,平成９年７月２４日,19970724
19,12,特許番号第４４０８２７５号出願日平成１７年９月２９日,平成１７年９月２９日,20050929
20,12,登録日平成２１年１１月２０日,平成２１年１１月２０日,20091120
21,13,平成２３年１２月２８日，,平成２３年１２月２８日,20111228
22,13,平成２４年２月１５日，,平成２４年２月１５日,20120215
23,19,平成２５年５月１０日，,平成２５年５月１０日,20130510
24,19,同年６月２０日，,同年６月２０日,20130620
25,156,平成８年１０月１日，,平成８年１０月１日,19961001
26,172,平成１８年１月１２日であって，,平成１８年１月１２日,20060112
27,218,平成８年１０月に,平成８年１０月,19961000
28,218,平成１５年４月１日に,平成１５年４月１日,20030401
29,218,平成１７年４月１日に,平成１７年４月１日,20050401
30,229,平成８年７月に,平成８年７月,19960700
31,229,平成１５年７月に,平成１５年７月,20030700
32,229,平成１７年５月に,平成１７年５月,20050500
33,318,平成１８年１月１２日であるから，,平成１８年１月１２日,20060112
34,1,平成２７年１１月１０日から,平成２７年１１月１０日,20151110
35,14,平成２７年１１月１０日から,平成２７年１１月１０日,20151110
36,21,平成２７年１１月１０日から,平成２７年１１月１０日,20151110
37,33,昭和４７年１２月の,昭和４７年１２月,19721200
